WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,NORTHING,EASTING,SORT_NAME
D0684,D0684,PROPOSED SITE,,AWAITING DRILLING,135142.4183,566756.1501,9-D0684-D0684A-A0001A
A4741,299-E17-8,GROUNDWATER WELL,,DECOMMISSIONED-V,135407.223,574884.076,1-0299-E0017A-A0008A
A4744,299-E18-2,GROUNDWATER WELL,,IN-USE,135291.022,573392.241,1-0299-E0018A-A0002A
A4748,299-E23-2,PIEZOMETER HOST,,DECOMMISSIONED-V,135671.744,573709.427,1-0299-E0023A-A0002A
A4754,299-E24-19,GROUNDWATER WELL,,DECOMMISSIONED-V,136003.512,575316.952,1-0299-E0024A-A0019A
A4884,299-E34-9,GROUNDWATER WELL,,IN-USE,137429.82,574186.02,1-0299-E0034A-A0009A
A4885,299-E35-1,GROUNDWATER WELL,,DECOMMISSIONED-V,137464.956,575459.729,1-0299-E0035A-A0001A
A4896,299-W10-2,GROUNDWATER WELL,,CANDIDATE FOR DECOMMISSIONING,136614.78,566672.24,1-0299-W0010A-A0002A
A4765,299-E25-19,GROUNDWATER WELL,,IN-USE,135659.027,575852.333,1-0299-E0025A-A0019A
A4770,299-E25-25,GROUNDWATER WELL,,IN-USE,135984.406,576588.887,1-0299-E0025A-A0025A
A4790,299-E25-41,GROUNDWATER WELL,,IN-USE,136145.925,575466.061,1-0299-E0025A-A0041A
A4731,299-E17-13,GROUNDWATER WELL,,IN-USE,135172.575,574948.031,1-0299-E0017A-A0013A
A4813,299-E27-15,GROUNDWATER WELL,,IN-USE,136630.359,575095.256,1-0299-E0027A-A0015A
A4817,299-E27-8,GROUNDWATER WELL,,IN-USE,137044.178,574759.08,1-0299-E0027A-A0008A
A4823,299-E28-27,GROUNDWATER WELL,,IN-USE,137070.063,573226.784,1-0299-E0028A-A0027A
A4830,299-E32-2,GROUNDWATER WELL,,IN-USE,137467.509,572648.02,1-0299-E0032A-A0002A
A4832,299-E32-4,GROUNDWATER WELL,,IN-USE,137187.218,572603.743,1-0299-E0032A-A0004A
A4942,299-W18-30,GROUNDWATER WELL,,IN-USE,135193.619,566870.755,1-0299-W0018A-A0030A
A4943,299-W18-31,GROUNDWATER WELL,,IN-USE,135075.178,566721.541,1-0299-W0018A-A0031A
A4950,299-W19-21,GROUNDWATER WELL,,DECOMMISSIONED-V,134879.771,566953.376,1-0299-W0019A-A0021A
A4955,299-W19-29,GROUNDWATER WELL,,DECOMMISSIONED-V,134999.512,567664.106,1-0299-W0019A-A0029A
A5438,299-W10-19,GROUNDWATER WELL,,IN-USE,137037.14,566346.19,1-0299-W0010A-A0019A
A5448,299-E25-44,GROUNDWATER WELL,,IN-USE,135656.638,576109.942,1-0299-E0025A-A0044A
A5466,299-W15-2,GROUNDWATER WELL,,IN-USE,136336.237,566093.762,1-0299-W0015A-A0002A
A5467,299-W14-7,VADOSE WELL,,DECOMMISSIONED-V,135654.455,567034.426,1-0299-W0014A-A0007A
A5469,299-W18-3,GROUNDWATER WELL,,CANDIDATE FOR DECOMMISSIONING,135529.497,566212.102,1-0299-W0018A-A0003A
A5471,299-W18-20,GROUNDWATER WELL,,DECOMMISSIONED-V,135081.76,566590.085,1-0299-W0018A-A0020A
A5473,299-W11-3,GROUNDWATER WELL,,IN-USE,136663.897,567641.717,1-0299-W0011A-A0003A
A5477,299-W15-9,VADOSE WELL,,CANDIDATE FOR DECOMMISSIONING,135631.369,566763.335,1-0299-W0015A-A0009A
A4856,299-E33-31,GROUNDWATER WELL,,IN-USE,137491.439,573524.98,1-0299-E0033A-A0031A
A4862,299-E33-37,GROUNDWATER WELL,,IN-USE,137185.421,574091.477,1-0299-E0033A-A0037A
A4864,299-E33-39,GROUNDWATER WELL,,IN-USE,137637.367,573843.523,1-0299-E0033A-A0039A
A4871,299-E33-7,GROUNDWATER WELL,,IN-USE,137695.968,573574.025,1-0299-E0033A-A0007A
A4873,299-E33-9,GROUNDWATER WELL,,IN-USE,137485.878,573646.833,1-0299-E0033A-A0009A
A4877,299-E34-2,GROUNDWATER WELL,,IN-USE,137220.694,574634.81,1-0299-E0034A-A0002A
A4971,299-W22-40,GROUNDWATER WELL,,DECOMMISSIONED-V,134509.99,567634.57,1-0299-W0022A-A0040A
A5113,699-29-70AQ,HOSTED PIEZOMETER,A8491,IN-USE,132162.002,568465.373,1-0699-A0029-A0070AQ
A5131,699-32-77,GROUNDWATER WELL,,IN-USE,133152.488,566416.794,1-0699-A0032-A0077A
A5133,699-33-56,GROUNDWATER WELL,,IN-USE,133627.235,572922.693,1-0699-A0033-A0056A
A5134,699-34-39A,GROUNDWATER WELL,,IN-USE,133881.121,578013.476,1-0699-A0034-A0039A
A5135,699-34-41B,GROUNDWATER WELL,,IN-USE,133911.728,577338.305,1-0699-A0034-A0041B
A4979,299-W23-1,GROUNDWATER WELL,,IN-USE,134424.771,566850.156,1-0299-W0023A-A0001A
A4983,299-W23-14,GROUNDWATER WELL,,DECOMMISSIONED-V,134290.17,566708.67,1-0299-W0023A-A0014A
