row,col,FID,Shape,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
73,107,2863,Point,571550,135550,10730107,1,2,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.0,0.0,2,1.0
73,108,2864,Point,571650,135550,10730108,1,2,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.0,0.0,3,2.0
73,109,2865,Point,571750,135550,10730109,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.0,0.0,3,2.0
73,110,2866,Point,571850,135550,10730110,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.25,0.0,3,2.0
73,111,2867,Point,571950,135550,10730111,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.75,0.0,3,2.0
73,112,2868,Point,572050,135550,10730112,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.75,0.0,3,2.0
73,113,2869,Point,572150,135550,10730113,2,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.75,0.0,3,2.0
74,32,2870,Point,564050,135450,10740032,3,3,3,2,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,2.0
74,33,2871,Point,564150,135450,10740033,3,2,3,2,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
74,34,2872,Point,564250,135450,10740034,3,2,3,2,2,3,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,35,2873,Point,564350,135450,10740035,3,2,3,2,2,3,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,36,2874,Point,564450,135450,10740036,2,2,3,2,2,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,37,2875,Point,564550,135450,10740037,2,2,3,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,38,2876,Point,564650,135450,10740038,2,1,4,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,39,2877,Point,564750,135450,10740039,2,1,4,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,40,2878,Point,564850,135450,10740040,2,1,3,2,2,3,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,41,2879,Point,564950,135450,10740041,2,1,3,2,2,3,4,3,1,2,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,42,2880,Point,565050,135450,10740042,3,2,2,3,2,3,4,3,2,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,43,2881,Point,565150,135450,10740043,3,2,1,3,2,3,4,3,2,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,44,2882,Point,565250,135450,10740044,3,3,1,3,1,3,4,3,3,4,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,45,2883,Point,565350,135450,10740045,3,3,1,3,1,2,4,3,3,4,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,46,2884,Point,565450,135450,10740046,3,3,1,3,1,2,4,3,3,4,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,47,2885,Point,565550,135450,10740047,3,4,0,3,1,2,4,3,3,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,48,2886,Point,565650,135450,10740048,3,4,0,3,0,1,4,3,3,1,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,49,2887,Point,565750,135450,10740049,3,4,0,4,0,1,4,3,2,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,50,2888,Point,565850,135450,10740050,3,4,0,4,0,0,4,3,2,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0
74,51,2889,Point,565950,135450,10740051,3,4,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
