,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING
300,42,86,569450.0,138650.0,10420086,4,0,4,0,0,0,0,138650.0,569450.0
301,42,87,569550.0,138650.0,10420087,4,0,4,0,0,0,0,138650.0,569550.0
302,42,88,569650.0,138650.0,10420088,4,0,4,0,0,0,0,138650.0,569650.0
303,42,89,569750.0,138650.0,10420089,4,0,4,0,0,0,0,138650.0,569750.0
304,42,90,569850.0,138650.0,10420090,4,0,4,0,0,0,0,138650.0,569850.0
305,42,91,569950.0,138650.0,10420091,4,0,4,0,0,0,0,138650.0,569950.0
306,42,92,570050.0,138650.0,10420092,3,0,4,0,0,0,0,138650.0,570050.0
307,42,93,570150.0,138650.0,10420093,3,0,4,0,0,0,0,138650.0,570150.0
308,42,94,570250.0,138650.0,10420094,3,0,4,0,0,0,0,138650.0,570250.0
309,42,95,570350.0,138650.0,10420095,2,0,4,0,0,0,0,138650.0,570350.0
310,42,96,570450.0,138650.0,10420096,2,0,4,0,0,0,0,138650.0,570450.0
311,42,97,570550.0,138650.0,10420097,2,0,4,0,0,0,0,138650.0,570550.0
312,42,98,570650.0,138650.0,10420098,2,0,4,0,0,0,0,138650.0,570650.0
313,42,99,570750.0,138650.0,10420099,2,0,4,0,0,0,0,138650.0,570750.0
314,42,100,570850.0,138650.0,10420100,2,0,4,0,0,0,0,138650.0,570850.0
315,42,101,570950.0,138650.0,10420101,2,0,4,0,0,0,0,138650.0,570950.0
316,42,102,571050.0,138650.0,10420102,3,0,4,0,0,0,0,138650.0,571050.0
317,42,103,571150.0,138650.0,10420103,3,0,4,0,0,0,0,138650.0,571150.0
318,42,104,571250.0,138650.0,10420104,3,0,4,0,0,0,0,138650.0,571250.0
319,42,105,571350.0,138650.0,10420105,3,0,4,0,0,0,0,138650.0,571350.0
320,42,106,571450.0,138650.0,10420106,3,0,4,0,0,0,0,138650.0,571450.0
321,42,107,571550.0,138650.0,10420107,3,0,4,0,0,0,0,138650.0,571550.0
322,42,108,571650.0,138650.0,10420108,3,0,4,0,0,0,0,138650.0,571650.0
323,42,109,571750.0,138650.0,10420109,3,0,4,0,0,0,0,138650.0,571750.0
324,42,110,571850.0,138650.0,10420110,3,0,4,0,0,0,0,138650.0,571850.0
325,42,111,571950.0,138650.0,10420111,4,0,4,0,0,0,0,138650.0,571950.0
326,42,112,572050.0,138650.0,10420112,4,0,4,0,0,0,0,138650.0,572050.0
327,42,113,572150.0,138650.0,10420113,4,0,4,0,0,0,0,138650.0,572150.0
328,43,32,564050.0,138550.0,10430032,4,0,4,0,0,0,0,138550.0,564050.0
329,43,33,564150.0,138550.0,10430033,4,0,4,0,0,0,0,138550.0,564150.0
330,43,34,564250.0,138550.0,10430034,4,0,4,0,0,0,0,138550.0,564250.0
331,43,35,564350.0,138550.0,10430035,4,0,4,0,0,0,0,138550.0,564350.0
332,43,36,564450.0,138550.0,10430036,4,0,4,0,0,0,0,138550.0,564450.0
333,43,37,564550.0,138550.0,10430037,4,0,4,0,0,0,0,138550.0,564550.0
334,43,38,564650.0,138550.0,10430038,4,0,4,0,0,0,0,138550.0,564650.0
335,43,39,564750.0,138550.0,10430039,4,0,4,0,0,0,0,138550.0,564750.0
336,43,40,564850.0,138550.0,10430040,4,0,4,0,0,0,0,138550.0,564850.0
337,43,41,564950.0,138550.0,10430041,4,0,4,0,0,0,0,138550.0,564950.0
338,43,42,565050.0,138550.0,10430042,3,0,4,0,0,0,0,138550.0,565050.0
339,43,43,565150.0,138550.0,10430043,3,0,4,0,0,0,0,138550.0,565150.0
340,43,44,565250.0,138550.0,10430044,2,0,4,0,0,0,0,138550.0,565250.0
341,43,45,565350.0,138550.0,10430045,2,0,4,0,0,0,0,138550.0,565350.0
342,43,46,565450.0,138550.0,10430046,2,0,4,0,0,0,0,138550.0,565450.0
343,43,47,565550.0,138550.0,10430047,1,0,4,0,0,0,0,138550.0,565550.0
344,43,48,565650.0,138550.0,10430048,1,0,4,0,0,0,0,138550.0,565650.0
345,43,49,565750.0,138550.0,10430049,1,0,4,0,0,0,0,138550.0,565750.0
346,43,50,565850.0,138550.0,10430050,1,0,4,0,0,0,0,138550.0,565850.0
347,43,51,565950.0,138550.0,10430051,1,0,4,0,0,0,0,138550.0,565950.0
348,43,52,566050.0,138550.0,10430052,1,0,4,0,0,0,0,138550.0,566050.0
349,43,53,566150.0,138550.0,10430053,2,0,4,0,0,0,0,138550.0,566150.0
350,43,54,566250.0,138550.0,10430054,2,0,4,0,0,0,0,138550.0,566250.0
351,43,55,566350.0,138550.0,10430055,2,0,3,0,0,0,0,138550.0,566350.0
352,43,56,566450.0,138550.0,10430056,2,0,3,0,0,0,0,138550.0,566450.0
353,43,57,566550.0,138550.0,10430057,2,0,2,0,0,0,0,138550.0,566550.0
354,43,58,566650.0,138550.0,10430058,2,0,2,0,0,0,0,138550.0,566650.0
355,43,59,566750.0,138550.0,10430059,2,0,2,0,0,0,0,138550.0,566750.0
356,43,60,566850.0,138550.0,10430060,1,0,1,0,0,0,0,138550.0,566850.0
357,43,61,566950.0,138550.0,10430061,1,0,1,0,0,0,0,138550.0,566950.0
358,43,62,567050.0,138550.0,10430062,1,0,1,0,0,0,0,138550.0,567050.0
359,43,63,567150.0,138550.0,10430063,1,0,1,0,0,0,0,138550.0,567150.0
360,43,64,567250.0,138550.0,10430064,0,0,2,0,0,0,0,138550.0,567250.0
361,43,65,567350.0,138550.0,10430065,0,0,2,0,0,0,0,138550.0,567350.0
362,43,66,567450.0,138550.0,10430066,0,0,2,0,0,0,0,138550.0,567450.0
363,43,67,567550.0,138550.0,10430067,1,0,3,0,0,0,0,138550.0,567550.0
364,43,68,567650.0,138550.0,10430068,1,0,3,0,0,0,0,138550.0,567650.0
365,43,69,567750.0,138550.0,10430069,2,0,4,0,0,0,0,138550.0,567750.0
366,43,70,567850.0,138550.0,10430070,2,0,4,0,0,0,0,138550.0,567850.0
367,43,71,567950.0,138550.0,10430071,2,0,4,0,0,0,0,138550.0,567950.0
368,43,72,568050.0,138550.0,10430072,2,0,4,0,0,0,0,138550.0,568050.0
369,43,73,568150.0,138550.0,10430073,2,0,4,0,0,0,0,138550.0,568150.0
