NAME,GWIA,easting_m_check,northing_m_check,Final_Assignment,HSU_source,elevation_m,tos_m,bos_m,mos_m,TYPE_scripts
299-W22-86,200-UP,567186.74,134041.31,UU/MU,SGW-38815,205.7,135.157088,124.461656,129.809372,MONITORING
299-W22-87,200-UP,567541.75,134539.88,UU/MU,SGW-38815,211.274,135.003896,124.31456,129.659228,MONITORING
299-W22-88,200-UP,568046.48,134390.53,UU/MU,SGW-38815,213.137,133.5842,122.9162,128.2502,MONITORING
299-W22-89,200-UP,566906.77,134031.67,UU/MU,SGW-38815,205.457,135.096968,124.419824,129.758396,MONITORING
299-W22-90,200-UP,566961.39,134483.24,UU/MU,SGW-38815,207.07,131.58628,119.391232,125.488756,EXTRACTION
299-W22-91,200-UP,566911.76,134134.53,UU/MU,SGW-38815,204.4,131.211424,115.96228,123.586852,EXTRACTION
299-W22-92,200-UP,567167.84,134029.77,UU/MU,SGW-38815,205.558,132.43648,118.708288,125.572384,EXTRACTION
299-W22-93,200-UP,566949.07,134485.98,UU/MU,SGW-38815,206.887,132.314632,121.646632,126.980632,MONITORING
299-W22-94,200-UP,567009.82,134429.75,UU/MU,SGW-38815,207.291,133.17888,122.501736,127.840308,MONITORING
299-W22-95,200-UP,567170.54,134549.11,UU/MU,SGW-38815,208.264,132.067048,119.865904,125.966476,MONITORING
299-W22-96,200-UP,567351.93,134145.58,UU/MU,SGW-38815,208.501,133.724416,124.580416,129.152416,MONITORING
299-W22-113,200-UP,566904.52,134192.75,UU/MU,SGW-38815,204.04,132.74728,123.5728,128.16004,MONITORING
299-W22-114,200-UP,567726.31,134048.07,UU/MU,SGW-38815,207.597,131.375664,120.704616,126.04014,MONITORING
299-W22-115,200-UP,566939.39,134292.43,UU/MU,SGW-38815,203.607,133.253064,122.57592,127.914492,MONITORING
299-W22-116,200-UP,566900.5,134139.92,UU/MU,SGW-38815,204.166,132.541048,121.866952,127.204,MONITORING
299-W22-123,200-UP,567593.02,133914,UU/MU,CP-67635,207.995,131.709656,122.562608,127.136132,MONITORING
299-W22-125,200-UP,567028.506,134253.724,UU/MU,CP-67635,205,132,122,127,MONITORING
299-W23-15,200-UP,566794,134127,UU/MU,ECF-200ZP1-22-0098,199.8,143.2,132,137.6,MONITORING
299-W23-19,200-UP,566759.115,134166.653,UU/MU,ECF-200ZP1-22-0098,202.49,138.280832,128.94176,133.611296,MONITORING
299-W23-20,200-UP,566717.669,134446.189,UU/MU,SGW-38815,203.102,137.4176,126.7496,132.0836,MONITORING
299-W23-21,200-UP,566707.737,134293.994,UU/MU,SGW-38815,202.584,137.789616,126.478488,132.134052,MONITORING
299-W23-236,200-UP,566798.66,134128.15,UU/MU,ECF-200ZP1-22-0098,199.89,132.907152,122.236104,127.571628,MONITORING
299-W23-4,200-UP,566628.216,134391.881,UU/MU,ECF-200ZP1-22-0098,202.999,148.135,127.34764,137.74132,MONITORING
299-W26-13,200-UP,566424.387,133293.598,UU/MU,SGW-38815,199.037,137.40644,126.70796,132.0572,MONITORING
299-W26-14,200-UP,566682.69,133539.21,UU/MU,SGW-38815,204.675,136.591824,125.923824,131.257824,MONITORING
299-W26-15,200-UP,566575.83,133391.21,UU/MU,CP-67635,201.722,134.687336,127.049048,130.868192,MONITORING
299-W26-16,200-UP,566324.31,133233.15,UU/MU,CP-67635,198.779,135.087992,127.458848,131.27342,MONITORING
299-W27-2,200-UP,566908.267,133670.351,LU/CR,SGW-38815,206.487,82.695528,79.610952,81.15324,MONITORING
299-W27-3,200-UP,566923.55,133756.88,UU/MU,CP-67635,205.394,133.479488,125.844248,129.661868,MONITORING
299-W5-1,200-ZP,568329.73,137321.21,UU/MU,SGW-38815,221.696,128.783816,83.018096,105.900956,EXTRACTION
299-W5-2P,200-ZP,568175.4,137621.12,UU/MU,ECF-200ZP1-22-0098,217.115,112.071776,105.96968,109.020728,MONITORING
299-W5-2Q,200-ZP,568175.4,137621.12,LU/CR,ECF-200ZP1-22-0098,217.115,93.77768,87.562808,90.670244,MONITORING
299-W6-11,200-ZP,567163,137635,UU/MU,ECF-200ZP1-22-0098,214.4,137.9,131.8,134.9,MONITORING
299-W6-12,200-ZP,566916,137635,UU/MU,ECF-200ZP1-22-0098,211.2,137.4,132.8,135.1,MONITORING
299-W6-15,200-ZP,567781.69,137076.41,UU/MU,SGW-38815,220.952,126.470096,77.705144,102.08762,EXTRACTION
299-W6-17,200-ZP,567767.41,137473.37,LU/CR,ECF-200ZP1-22-0098,220.564,92.60896,86.49772,89.55334,MONITORING
299-W6-3,200-ZP,567118.18,137299.13,LU/CR,SGW-38815,213.355,88.52416,85.39996,86.96206,MONITORING
299-W6-6,200-ZP,567318.74,137638.72,LU/CR,SGW-38815,216.504,88.91472,85.65336,87.28404,MONITORING
