Well_Name,GWIA,EASTING,NORTHING,Coordinate_Source,Elevation_m,TOS_m,BOS_m,MOS_m,Source_Elevation_Source,Top_of_RLM_m,Top_of_Rwia_m,Top_of_Basalt_m,HSU_Assignment,Misc_Notes,Flag_to_Check
299-W23-21,200-UP-1,566708,134294,HEIS Database,202.6,137.8,126.5,132.1,HEIS Database,67.4,44.4,29.9,UU/MU,None,FALSE
299-W23-236,200-UP-1,566799,134128,HEIS Database,199.9,132.9,122.2,127.6,HEIS Database,66.4,40.1,28.4,UU/MU,None,FALSE
299-W23-4,200-UP-1,566628,134392,HEIS Database,202.5,147.7,127.6,137.6,HEIS Database,68.2,47.4,30.4,UU/MU,None,FALSE
299-W26-13,200-UP-1,566424,133294,HEIS Database,199,137.4,126.7,132.1,HEIS Database,72.1,41.7,17.2,UU/MU,None,FALSE
299-W26-14,200-UP-1,566683,133539,HEIS Database,204.7,136.6,125.9,131.3,HEIS Database,74.7,42,20.8,UU/MU,None,FALSE
299-W27-2,200-UP-1,566908,133670,HEIS Database,206.5,82.7,79.6,81.2,HEIS Database,76.3,42.5,23.9,UU/MU,None,FALSE
299-W5-1,200-ZP-1,568330,137321,HEIS Database,221.7,128.8,83,105.9,HEIS Database,-9999,105.6,77,UU/MU,None,FALSE
299-W5-2P,200-ZP-1,568175,137621,HEIS Database,217.1,112.1,106,109,HEIS Database,-9999,108.5,83.1,UU/MU,None,FALSE
299-W5-2Q,200-ZP-1,568175,137621,HEIS Database,217.1,93.8,87.6,90.7,HEIS Database,-9999,108.5,83.1,LU/CR,None,FALSE
299-W6-11,200-ZP-1,567163,137635,HEIS Database,214.4,137.9,131.8,134.9,HEIS Database,-9999,91.3,73.5,UU/MU,None,FALSE
299-W6-12,200-ZP-1,566916,137635,HEIS Database,211.2,137.4,132.8,135.1,HEIS Database,-9999,92.7,70.4,UU/MU,None,FALSE
299-W6-15,200-ZP-1,567782,137076,HEIS Database,221,126.5,77.7,102.1,HEIS Database,-9999,88.8,70.8,UU/MU,None,FALSE
299-W6-17,200-ZP-1,567767,137473,HEIS Database,220.6,92.6,86.5,89.6,HEIS Database,-9999,96.4,74.7,LU/CR,None,FALSE
299-W6-3,200-ZP-1,567118,137299,HEIS Database,213.4,88.5,85.4,87,HEIS Database,-9999,86.2,68.6,UU/MU,None,FALSE
299-W6-6,200-ZP-1,567319,137639,HEIS Database,216.5,88.9,85.7,87.3,HEIS Database,-9999,89.6,72.7,LU/CR,None,FALSE
