pw_id,row,col,x,y,outfile
PW-1146,52,111,571950.0,137650.0,data\breakthroughcurves\PW-1146_r0052_c0111.png
PW-1151,53,34,564250.0,137550.0,data\breakthroughcurves\PW-1151_r0053_c0034.png
PW-1156,53,39,564750.0,137550.0,data\breakthroughcurves\PW-1156_r0053_c0039.png
PW-1161,53,44,565250.0,137550.0,data\breakthroughcurves\PW-1161_r0053_c0044.png
PW-1166,53,49,565750.0,137550.0,data\breakthroughcurves\PW-1166_r0053_c0049.png
PW-1171,53,54,566250.0,137550.0,data\breakthroughcurves\PW-1171_r0053_c0054.png
PW-1176,53,59,566750.0,137550.0,data\breakthroughcurves\PW-1176_r0053_c0059.png
PW-1181,53,64,567250.0,137550.0,data\breakthroughcurves\PW-1181_r0053_c0064.png
PW-1186,53,69,567750.0,137550.0,data\breakthroughcurves\PW-1186_r0053_c0069.png
PW-1191,53,74,568250.0,137550.0,data\breakthroughcurves\PW-1191_r0053_c0074.png
PW-1196,53,79,568750.0,137550.0,data\breakthroughcurves\PW-1196_r0053_c0079.png
PW-1201,53,84,569250.0,137550.0,data\breakthroughcurves\PW-1201_r0053_c0084.png
PW-1206,53,89,569750.0,137550.0,data\breakthroughcurves\PW-1206_r0053_c0089.png
PW-1211,53,94,570250.0,137550.0,data\breakthroughcurves\PW-1211_r0053_c0094.png
PW-1216,53,99,570750.0,137550.0,data\breakthroughcurves\PW-1216_r0053_c0099.png
PW-1221,53,104,571250.0,137550.0,data\breakthroughcurves\PW-1221_r0053_c0104.png
PW-1226,53,109,571750.0,137550.0,data\breakthroughcurves\PW-1226_r0053_c0109.png
PW-1231,54,32,564050.0,137450.0,data\breakthroughcurves\PW-1231_r0054_c0032.png
PW-1236,54,37,564550.0,137450.0,data\breakthroughcurves\PW-1236_r0054_c0037.png
PW-1241,54,42,565050.0,137450.0,data\breakthroughcurves\PW-1241_r0054_c0042.png
PW-1246,54,47,565550.0,137450.0,data\breakthroughcurves\PW-1246_r0054_c0047.png
PW-1251,54,52,566050.0,137450.0,data\breakthroughcurves\PW-1251_r0054_c0052.png
PW-1256,54,57,566550.0,137450.0,data\breakthroughcurves\PW-1256_r0054_c0057.png
PW-1261,54,62,567050.0,137450.0,data\breakthroughcurves\PW-1261_r0054_c0062.png
PW-1266,54,67,567550.0,137450.0,data\breakthroughcurves\PW-1266_r0054_c0067.png
PW-1271,54,72,568050.0,137450.0,data\breakthroughcurves\PW-1271_r0054_c0072.png
PW-1276,54,77,568550.0,137450.0,data\breakthroughcurves\PW-1276_r0054_c0077.png
PW-1281,54,82,569050.0,137450.0,data\breakthroughcurves\PW-1281_r0054_c0082.png
PW-1286,54,87,569550.0,137450.0,data\breakthroughcurves\PW-1286_r0054_c0087.png
PW-1291,54,92,570050.0,137450.0,data\breakthroughcurves\PW-1291_r0054_c0092.png
PW-1296,54,97,570550.0,137450.0,data\breakthroughcurves\PW-1296_r0054_c0097.png
PW-1301,54,102,571050.0,137450.0,data\breakthroughcurves\PW-1301_r0054_c0102.png
PW-1306,54,107,571550.0,137450.0,data\breakthroughcurves\PW-1306_r0054_c0107.png
PW-1311,54,112,572050.0,137450.0,data\breakthroughcurves\PW-1311_r0054_c0112.png
PW-1316,55,35,564350.0,137350.0,data\breakthroughcurves\PW-1316_r0055_c0035.png
PW-1321,55,40,564850.0,137350.0,data\breakthroughcurves\PW-1321_r0055_c0040.png
PW-1326,55,45,565350.0,137350.0,data\breakthroughcurves\PW-1326_r0055_c0045.png
PW-1331,55,50,565850.0,137350.0,data\breakthroughcurves\PW-1331_r0055_c0050.png
PW-1336,55,55,566350.0,137350.0,data\breakthroughcurves\PW-1336_r0055_c0055.png
PW-1341,55,60,566850.0,137350.0,data\breakthroughcurves\PW-1341_r0055_c0060.png
PW-1346,55,65,567350.0,137350.0,data\breakthroughcurves\PW-1346_r0055_c0065.png
PW-1351,55,70,567850.0,137350.0,data\breakthroughcurves\PW-1351_r0055_c0070.png
